ImageA,ImageB,SSIM,PCC,MAE,ECD
image_1172_Nucleus.ome.tiff,image_1172_Nucleus.ome_fake_B.png,0.8144,0.7614,0.0274,31.0669
image_2480_Nucleus.ome.tiff,image_2480_Nucleus.ome_fake_B.png,0.9038,0.8362,0.0144,98.8983
image_125_Nucleus.ome.tiff,image_125_Nucleus.ome_fake_B.png,0.6911,0.5296,0.0698,290.2206
image_1140_Nucleus.ome.tiff,image_1140_Nucleus.ome_fake_B.png,0.0277,0.0403,0.3069,173.5686
image_1361_Nucleus.ome.tiff,image_1361_Nucleus.ome_fake_B.png,0.7115,0.0770,0.0585,64.2444
image_1845_Nucleus.ome.tiff,image_1845_Nucleus.ome_fake_B.png,0.6365,0.4106,0.0611,111.3682
image_2468_Nucleus.ome.tiff,image_2468_Nucleus.ome_fake_B.png,0.7815,0.6620,0.0518,226.9940
image_712_Nucleus.ome.tiff,image_712_Nucleus.ome_fake_B.png,0.0643,0.1661,0.1893,106.0669
image_489_Nucleus.ome.tiff,image_489_Nucleus.ome_fake_B.png,0.8276,0.7892,0.0263,31.7415
image_2227_Nucleus.ome.tiff,image_2227_Nucleus.ome_fake_B.png,0.7055,0.7149,0.0505,80.9810
image_115_Nucleus.ome.tiff,image_115_Nucleus.ome_fake_B.png,0.2974,0.0946,0.1864,321.3464
image_1634_Nucleus.ome.tiff,image_1634_Nucleus.ome_fake_B.png,0.6507,0.5055,0.0604,58.0171
image_885_Nucleus.ome.tiff,image_885_Nucleus.ome_fake_B.png,0.6836,0.5336,0.0542,54.7984
image_624_Nucleus.ome.tiff,image_624_Nucleus.ome_fake_B.png,0.8069,0.7654,0.0441,39.0453
image_2212_Nucleus.ome.tiff,image_2212_Nucleus.ome_fake_B.png,0.5978,0.3260,0.0791,132.9939
image_1681_Nucleus.ome.tiff,image_1681_Nucleus.ome_fake_B.png,0.7537,0.1063,0.0572,69.8395
image_516_Nucleus.ome.tiff,image_516_Nucleus.ome_fake_B.png,0.5142,-0.0502,0.2198,171.0748
image_2339_Nucleus.ome.tiff,image_2339_Nucleus.ome_fake_B.png,0.8145,0.7134,0.0237,145.2203
image_1539_Nucleus.ome.tiff,image_1539_Nucleus.ome_fake_B.png,0.7147,0.5008,0.0558,59.7335
image_615_Nucleus.ome.tiff,image_615_Nucleus.ome_fake_B.png,0.6490,0.1421,0.0791,81.8227
image_1151_Nucleus.ome.tiff,image_1151_Nucleus.ome_fake_B.png,0.6637,0.3253,0.0758,75.7254
image_1018_Nucleus.ome.tiff,image_1018_Nucleus.ome_fake_B.png,0.7241,0.4087,0.0779,67.6574
image_1627_Nucleus.ome.tiff,image_1627_Nucleus.ome_fake_B.png,0.6799,-0.0845,0.0614,62.4522
