ImageA,ImageB,SSIM,PCC,MAE,ECD
image_2567_Tubulin.ome.tiff,image_2567_Tubulin.ome_fake_B.png,0.6926,0.5608,0.0796,247.2559
image_2553_Tubulin.ome.tiff,image_2553_Tubulin.ome_fake_B.png,0.6782,0.4347,0.0733,226.8834
image_2538_Tubulin.ome.tiff,image_2538_Tubulin.ome_fake_B.png,0.6982,0.1167,0.0761,225.2133
image_2559_Tubulin.ome.tiff,image_2559_Tubulin.ome_fake_B.png,0.6517,0.1349,0.0997,255.8903
image_228_Tubulin.ome.tiff,image_228_Tubulin.ome_fake_B.png,0.5372,0.3058,0.1201,315.4616
image_113_Tubulin.ome.tiff,image_113_Tubulin.ome_fake_B.png,0.4322,0.3900,0.1335,244.3310
image_89_Tubulin.ome.tiff,image_89_Tubulin.ome_fake_B.png,0.1213,0.4156,0.1386,199.8990
image_251_Tubulin.ome.tiff,image_251_Tubulin.ome_fake_B.png,0.5698,0.5945,0.1090,302.7850
image_310_Tubulin.ome.tiff,image_310_Tubulin.ome_fake_B.png,0.5177,0.3667,0.1043,164.4092
image_2514_Tubulin.ome.tiff,image_2514_Tubulin.ome_fake_B.png,0.5367,0.1506,0.1577,368.4744
image_2522_Tubulin.ome.tiff,image_2522_Tubulin.ome_fake_B.png,0.6086,0.3390,0.1060,261.5181
image_312_Tubulin.ome.tiff,image_312_Tubulin.ome_fake_B.png,0.4103,0.4273,0.1305,194.0799
image_215_Tubulin.ome.tiff,image_215_Tubulin.ome_fake_B.png,0.5850,0.6250,0.1229,325.0612
image_118_Tubulin.ome.tiff,image_118_Tubulin.ome_fake_B.png,0.4262,0.3456,0.1251,230.2594
image_222_Tubulin.ome.tiff,image_222_Tubulin.ome_fake_B.png,0.4958,0.5945,0.1253,350.8829
image_2568_Tubulin.ome.tiff,image_2568_Tubulin.ome_fake_B.png,0.7108,0.1364,0.0737,237.7604
image_2545_Tubulin.ome.tiff,image_2545_Tubulin.ome_fake_B.png,0.4947,0.1804,0.1735,401.6390
image_67_Tubulin.ome.tiff,image_67_Tubulin.ome_fake_B.png,0.1421,0.4138,0.1353,186.1897
image_2534_Tubulin.ome.tiff,image_2534_Tubulin.ome_fake_B.png,0.5943,0.2736,0.1083,283.9927
image_235_Tubulin.ome.tiff,image_235_Tubulin.ome_fake_B.png,0.5762,0.4308,0.1023,270.4231
image_212_Tubulin.ome.tiff,image_212_Tubulin.ome_fake_B.png,0.6695,0.5340,0.0732,202.0809
image_232_Tubulin.ome.tiff,image_232_Tubulin.ome_fake_B.png,0.5189,0.2708,0.1255,330.8125
image_245_Tubulin.ome.tiff,image_245_Tubulin.ome_fake_B.png,0.5400,0.7502,0.0983,251.4583
image_114_Tubulin.ome.tiff,image_114_Tubulin.ome_fake_B.png,0.4790,0.4980,0.1313,248.0377
image_62_Tubulin.ome.tiff,image_62_Tubulin.ome_fake_B.png,0.1173,0.2577,0.1629,241.2505
image_112_Tubulin.ome.tiff,image_112_Tubulin.ome_fake_B.png,0.3393,0.1720,0.1491,275.2876
image_2528_Tubulin.ome.tiff,image_2528_Tubulin.ome_fake_B.png,0.6985,0.0748,0.0842,261.8822
image_332_Tubulin.ome.tiff,image_332_Tubulin.ome_fake_B.png,0.5583,0.4728,0.1178,167.0847
image_225_Tubulin.ome.tiff,image_225_Tubulin.ome_fake_B.png,0.6647,0.7607,0.0674,184.2126
image_397_Tubulin.ome.tiff,image_397_Tubulin.ome_fake_B.png,0.3292,0.1888,0.1583,218.2544
image_2535_Tubulin.ome.tiff,image_2535_Tubulin.ome_fake_B.png,0.6288,0.3293,0.0909,250.6734
image_213_Tubulin.ome.tiff,image_213_Tubulin.ome_fake_B.png,0.6721,0.3392,0.0823,219.4302
image_2524_Tubulin.ome.tiff,image_2524_Tubulin.ome_fake_B.png,0.6597,-0.0199,0.1101,288.9837
image_74_Tubulin.ome.tiff,image_74_Tubulin.ome_fake_B.png,0.1337,0.3051,0.1438,211.2084
image_2556_Tubulin.ome.tiff,image_2556_Tubulin.ome_fake_B.png,0.7247,0.1301,0.0788,264.1522
image_340_Tubulin.ome.tiff,image_340_Tubulin.ome_fake_B.png,0.5692,0.3408,0.1096,166.0021
