ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_2483_Mitochondria.ome.tiff,image_2483_Mitochondria.ome_fake_B.png,0.6456,0.5495,0.0540,206.6205,0.3189
image_1347_Mitochondria.ome.tiff,image_1347_Mitochondria.ome_fake_B.png,0.5952,0.2173,0.0564,55.1420,0.4821
image_1300_Mitochondria.ome.tiff,image_1300_Mitochondria.ome_fake_B.png,0.7144,0.4212,0.0428,41.5496,0.3050
image_729_Mitochondria.ome.tiff,image_729_Mitochondria.ome_fake_B.png,0.7073,0.5034,0.0396,42.4808,0.3505
image_846_Mitochondria.ome.tiff,image_846_Mitochondria.ome_fake_B.png,0.7228,0.5991,0.0348,37.0701,0.2782
image_829_Mitochondria.ome.tiff,image_829_Mitochondria.ome_fake_B.png,0.6790,0.3750,0.0517,50.6775,0.3445
image_608_Mitochondria.ome.tiff,image_608_Mitochondria.ome_fake_B.png,0.6738,0.3765,0.0416,42.6847,0.4042
image_945_Mitochondria.ome.tiff,image_945_Mitochondria.ome_fake_B.png,0.4354,-0.0789,0.0834,65.8220,0.5874
image_1387_Mitochondria.ome.tiff,image_1387_Mitochondria.ome_fake_B.png,0.7119,0.3085,0.0426,42.9986,0.3375
image_801_Mitochondria.ome.tiff,image_801_Mitochondria.ome_fake_B.png,0.4323,0.2613,0.0652,51.7513,0.5104
image_1416_Mitochondria.ome.tiff,image_1416_Mitochondria.ome_fake_B.png,0.5902,0.1438,0.0516,46.9199,0.5035
image_815_Mitochondria.ome.tiff,image_815_Mitochondria.ome_fake_B.png,0.6644,0.4113,0.0481,47.8646,0.3777
image_435_Mitochondria.ome.tiff,image_435_Mitochondria.ome_fake_B.png,0.6303,0.3199,0.0663,59.8404,0.3813
image_1576_Mitochondria.ome.tiff,image_1576_Mitochondria.ome_fake_B.png,0.5214,0.2719,0.0645,53.4549,0.4040
image_320_Mitochondria.ome.tiff,image_320_Mitochondria.ome_fake_B.png,0.4469,0.1296,0.1216,184.1653,0.2433
image_1499_Mitochondria.ome.tiff,image_1499_Mitochondria.ome_fake_B.png,0.7420,0.4549,0.0362,42.4411,0.3746
image_2416_Mitochondria.ome.tiff,image_2416_Mitochondria.ome_fake_B.png,0.6148,0.4273,0.0597,203.8915,0.3290
image_1699_Mitochondria.ome.tiff,image_1699_Mitochondria.ome_fake_B.png,0.6676,0.1193,0.0571,52.0510,0.4132
image_1332_Mitochondria.ome.tiff,image_1332_Mitochondria.ome_fake_B.png,0.6113,0.1003,0.0648,54.0118,0.3946
image_858_Mitochondria.ome.tiff,image_858_Mitochondria.ome_fake_B.png,0.6644,0.3397,0.0440,44.7195,0.4253
image_754_Mitochondria.ome.tiff,image_754_Mitochondria.ome_fake_B.png,0.5420,0.2707,0.0696,57.7152,0.3904
image_1355_Mitochondria.ome.tiff,image_1355_Mitochondria.ome_fake_B.png,0.7508,0.4076,0.0397,49.1387,0.4386
image_1423_Mitochondria.ome.tiff,image_1423_Mitochondria.ome_fake_B.png,0.6985,0.3935,0.0374,39.4792,0.3900
image_578_Mitochondria.ome.tiff,image_578_Mitochondria.ome_fake_B.png,0.6969,0.5218,0.0487,46.9221,0.2838
image_1025_Mitochondria.ome.tiff,image_1025_Mitochondria.ome_fake_B.png,0.6459,0.3713,0.0512,51.0903,0.3977
image_1621_Mitochondria.ome.tiff,image_1621_Mitochondria.ome_fake_B.png,0.7752,0.1922,0.0374,40.4298,0.3387
image_1269_Mitochondria.ome.tiff,image_1269_Mitochondria.ome_fake_B.png,0.5813,0.2892,0.0624,57.8132,0.4210
image_2394_Mitochondria.ome.tiff,image_2394_Mitochondria.ome_fake_B.png,0.5401,0.2221,0.0580,206.9592,0.6011
image_1554_Mitochondria.ome.tiff,image_1554_Mitochondria.ome_fake_B.png,0.5766,0.2346,0.0844,73.8125,0.3774
image_1327_Mitochondria.ome.tiff,image_1327_Mitochondria.ome_fake_B.png,0.6101,0.2723,0.0575,49.8817,0.3727
image_602_Mitochondria.ome.tiff,image_602_Mitochondria.ome_fake_B.png,0.7652,0.2933,0.0470,55.4985,0.4628
image_1229_Mitochondria.ome.tiff,image_1229_Mitochondria.ome_fake_B.png,0.0588,0.3069,0.2287,130.9152,0.3710
image_652_Mitochondria.ome.tiff,image_652_Mitochondria.ome_fake_B.png,0.6877,0.1790,0.0503,48.7487,0.3800
image_254_Mitochondria.ome.tiff,image_254_Mitochondria.ome_fake_B.png,0.5540,0.3152,0.0752,132.8335,0.3212
image_1432_Mitochondria.ome.tiff,image_1432_Mitochondria.ome_fake_B.png,0.6401,0.1555,0.0611,58.0575,0.4267
image_1198_Mitochondria.ome.tiff,image_1198_Mitochondria.ome_fake_B.png,0.6819,0.5348,0.0519,50.1843,0.2800
image_610_Mitochondria.ome.tiff,image_610_Mitochondria.ome_fake_B.png,0.5560,0.0771,0.0714,57.6850,0.3774
image_1157_Mitochondria.ome.tiff,image_1157_Mitochondria.ome_fake_B.png,0.5225,0.1451,0.0482,39.9905,0.3765
image_546_Mitochondria.ome.tiff,image_546_Mitochondria.ome_fake_B.png,0.1726,0.0572,0.2889,157.7851,0.1789
image_1282_Mitochondria.ome.tiff,image_1282_Mitochondria.ome_fake_B.png,0.6789,0.1365,0.0552,50.9100,0.4326
image_769_Mitochondria.ome.tiff,image_769_Mitochondria.ome_fake_B.png,0.6794,0.4539,0.0452,39.6410,0.3292
image_1048_Mitochondria.ome.tiff,image_1048_Mitochondria.ome_fake_B.png,0.5520,0.3065,0.0651,55.4713,0.4011
image_1021_Mitochondria.ome.tiff,image_1021_Mitochondria.ome_fake_B.png,0.6943,0.2899,0.0458,50.1338,0.4583
image_2372_Mitochondria.ome.tiff,image_2372_Mitochondria.ome_fake_B.png,0.5389,0.0450,0.0592,210.2803,0.6746
image_2306_Mitochondria.ome.tiff,image_2306_Mitochondria.ome_fake_B.png,0.7161,0.4580,0.0216,114.5964,0.4662
image_2353_Mitochondria.ome.tiff,image_2353_Mitochondria.ome_fake_B.png,0.7072,0.4172,0.0376,159.3133,0.4583
image_900_Mitochondria.ome.tiff,image_900_Mitochondria.ome_fake_B.png,0.3842,0.0656,0.0698,52.9479,0.3051
image_158_Mitochondria.ome.tiff,image_158_Mitochondria.ome_fake_B.png,0.6907,0.5292,0.0635,218.9219,0.2681
image_282_Mitochondria.ome.tiff,image_282_Mitochondria.ome_fake_B.png,0.7911,0.5079,0.0313,86.6627,0.3544
image_75_Mitochondria.ome.tiff,image_75_Mitochondria.ome_fake_B.png,0.6324,0.4232,0.0344,71.5000,0.3728
image_2443_Mitochondria.ome.tiff,image_2443_Mitochondria.ome_fake_B.png,0.5700,0.3188,0.0631,214.4604,0.4136
image_1146_Mitochondria.ome.tiff,image_1146_Mitochondria.ome_fake_B.png,0.7019,0.5836,0.0404,43.7877,0.2988
image_1361_Mitochondria.ome.tiff,image_1361_Mitochondria.ome_fake_B.png,0.5370,0.2791,0.0496,43.9308,0.4718
image_459_Mitochondria.ome.tiff,image_459_Mitochondria.ome_fake_B.png,0.6434,0.3778,0.0560,53.2891,0.3387
image_1595_Mitochondria.ome.tiff,image_1595_Mitochondria.ome_fake_B.png,0.6455,0.4502,0.0510,50.3338,0.3474
