ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_927_Nucleus.ome.tiff,image_927_Nucleus.ome_fake_B.png,0.7781,0.4850,0.0432,51.2556,0.3560
image_1778_Nucleus.ome.tiff,image_1778_Nucleus.ome_fake_B.png,0.5993,0.1523,0.0959,133.7261,0.3159
image_2402_Nucleus.ome.tiff,image_2402_Nucleus.ome_fake_B.png,0.7484,0.5684,0.0562,247.2192,0.3140
image_665_Nucleus.ome.tiff,image_665_Nucleus.ome_fake_B.png,0.7831,0.6833,0.0584,42.9639,0.1487
image_2134_Nucleus.ome.tiff,image_2134_Nucleus.ome_fake_B.png,0.5907,-0.0821,0.0801,138.6527,0.3200
image_1550_Nucleus.ome.tiff,image_1550_Nucleus.ome_fake_B.png,0.2392,0.0522,0.4659,246.8250,0.1407
image_471_Nucleus.ome.tiff,image_471_Nucleus.ome_fake_B.png,0.5682,0.1887,0.0733,68.2995,0.5642
image_1005_Nucleus.ome.tiff,image_1005_Nucleus.ome_fake_B.png,0.6360,0.4514,0.1383,92.4392,0.1627
image_1610_Nucleus.ome.tiff,image_1610_Nucleus.ome_fake_B.png,0.1675,0.1126,0.5484,299.5481,0.1796
image_1026_Nucleus.ome.tiff,image_1026_Nucleus.ome_fake_B.png,0.7157,0.0850,0.0690,61.0111,0.1949
image_2336_Nucleus.ome.tiff,image_2336_Nucleus.ome_fake_B.png,0.7882,0.6620,0.0383,191.2210,0.2764
image_710_Nucleus.ome.tiff,image_710_Nucleus.ome_fake_B.png,0.6874,0.5561,0.0496,47.4286,0.3171
image_706_Nucleus.ome.tiff,image_706_Nucleus.ome_fake_B.png,0.7007,0.2797,0.0932,73.8701,0.1954
image_899_Nucleus.ome.tiff,image_899_Nucleus.ome_fake_B.png,0.5880,-0.0140,0.0807,73.2243,0.6369
image_481_Nucleus.ome.tiff,image_481_Nucleus.ome_fake_B.png,0.6390,0.5437,0.0495,46.7566,0.3269
image_1165_Nucleus.ome.tiff,image_1165_Nucleus.ome_fake_B.png,0.6868,0.3722,0.0832,63.3535,0.2881
image_1986_Nucleus.ome.tiff,image_1986_Nucleus.ome_fake_B.png,0.6038,0.4472,0.0623,103.3471,0.1330
image_2544_Nucleus.ome.tiff,image_2544_Nucleus.ome_fake_B.png,0.4055,0.1067,0.0740,299.4476,0.7903
image_2335_Nucleus.ome.tiff,image_2335_Nucleus.ome_fake_B.png,0.7662,0.5898,0.0512,244.7694,0.3167
image_315_Nucleus.ome.tiff,image_315_Nucleus.ome_fake_B.png,0.3030,0.0553,0.2187,323.0060,0.4454
image_2080_Nucleus.ome.tiff,image_2080_Nucleus.ome_fake_B.png,0.7227,0.5808,0.0470,87.0773,0.1211
image_290_Nucleus.ome.tiff,image_290_Nucleus.ome_fake_B.png,0.2994,0.3937,0.0704,146.8727,0.5245
image_981_Nucleus.ome.tiff,image_981_Nucleus.ome_fake_B.png,0.5552,0.1973,0.0974,87.2359,0.4901
image_431_Nucleus.ome.tiff,image_431_Nucleus.ome_fake_B.png,0.1954,0.2611,0.1202,76.2450,0.3855
image_547_Nucleus.ome.tiff,image_547_Nucleus.ome_fake_B.png,0.7381,0.1938,0.0493,57.3884,0.5334
image_1546_Nucleus.ome.tiff,image_1546_Nucleus.ome_fake_B.png,0.8124,0.7729,0.0493,44.3226,0.1039
image_2509_Nucleus.ome.tiff,image_2509_Nucleus.ome_fake_B.png,0.7154,0.5124,0.0464,225.2613,0.4116
image_1767_Nucleus.ome.tiff,image_1767_Nucleus.ome_fake_B.png,0.5713,0.5300,0.0700,106.1868,0.1562
image_938_Nucleus.ome.tiff,image_938_Nucleus.ome_fake_B.png,0.5599,0.1637,0.0544,56.5399,0.6545
image_1881_Nucleus.ome.tiff,image_1881_Nucleus.ome_fake_B.png,0.5739,0.4049,0.0708,123.1261,0.1777
image_580_Nucleus.ome.tiff,image_580_Nucleus.ome_fake_B.png,0.7239,0.2064,0.0766,64.1854,0.2856
image_432_Nucleus.ome.tiff,image_432_Nucleus.ome_fake_B.png,0.1119,0.0538,0.1669,99.9857,0.3502
image_1271_Nucleus.ome.tiff,image_1271_Nucleus.ome_fake_B.png,0.7228,0.1133,0.0775,65.0263,0.2324
image_2300_Nucleus.ome.tiff,image_2300_Nucleus.ome_fake_B.png,0.8210,0.7117,0.0233,153.4941,0.2629
image_1802_Nucleus.ome.tiff,image_1802_Nucleus.ome_fake_B.png,0.6398,0.2493,0.0657,124.5717,0.2215
image_2201_Nucleus.ome.tiff,image_2201_Nucleus.ome_fake_B.png,0.5612,0.2474,0.0998,155.3595,0.2281
image_2443_Nucleus.ome.tiff,image_2443_Nucleus.ome_fake_B.png,0.7056,0.4641,0.0612,260.0406,0.3946
image_709_Nucleus.ome.tiff,image_709_Nucleus.ome_fake_B.png,0.7805,0.6350,0.0616,46.7818,0.1573
image_939_Nucleus.ome.tiff,image_939_Nucleus.ome_fake_B.png,0.7708,-0.0203,0.0706,63.3131,0.3083
image_1584_Nucleus.ome.tiff,image_1584_Nucleus.ome_fake_B.png,0.7748,0.8741,0.0296,30.6551,0.0930
image_731_Nucleus.ome.tiff,image_731_Nucleus.ome_fake_B.png,0.7796,0.1990,0.0632,58.5967,0.2932
image_734_Nucleus.ome.tiff,image_734_Nucleus.ome_fake_B.png,0.7386,0.6530,0.0565,62.1528,0.2381
image_2017_Nucleus.ome.tiff,image_2017_Nucleus.ome_fake_B.png,0.6488,0.5525,0.0488,85.5287,0.1138
image_1445_Nucleus.ome.tiff,image_1445_Nucleus.ome_fake_B.png,0.6224,0.5324,0.1024,97.6871,0.3067
image_1541_Nucleus.ome.tiff,image_1541_Nucleus.ome_fake_B.png,0.6071,0.6061,0.0906,62.5177,0.2110
image_1943_Nucleus.ome.tiff,image_1943_Nucleus.ome_fake_B.png,0.6743,0.2482,0.0678,126.2095,0.2279
image_218_Nucleus.ome.tiff,image_218_Nucleus.ome_fake_B.png,0.6368,0.3730,0.0996,334.6477,0.3832
image_176_Nucleus.ome.tiff,image_176_Nucleus.ome_fake_B.png,0.6446,0.6025,0.0663,272.9626,0.2917
image_495_Nucleus.ome.tiff,image_495_Nucleus.ome_fake_B.png,0.8399,0.6803,0.0470,41.4544,0.1069
image_311_Nucleus.ome.tiff,image_311_Nucleus.ome_fake_B.png,0.1729,0.1594,0.2721,376.3316,0.4794
image_1407_Nucleus.ome.tiff,image_1407_Nucleus.ome_fake_B.png,0.8192,0.4754,0.0518,52.8833,0.1977
